Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2"
Total,"7,314","8,559","8,812","6,406"
Single-Bias Incidents,"7,103","8,302","8,552","6,268"
Race/Ethnicity/Ancestry:,"3,963","4,784","4,930","3,550"
Anti-White,666,755,775,645
Anti-Black or African American,"1,930","2,314","2,391","1,682"
Anti-American Indian or Alaska Native,119,126,135,101
Anti-Asian,158,205,215,153
Anti-Native Hawaiian or Other Pacific Islander,21,25,26,26
"Anti-Multiple Races, Group",134,171,173,82
Anti-Arab,95,122,126,86
Anti-Hispanic or Latino,527,676,693,547
Anti-Other Race/Ethnicity/Ancestry,313,390,396,228
Religion:,"1,521","1,650","1,715","1,012"
Anti-Jewish,953,995,"1,032",602
Anti-Catholic,64,66,66,42
Anti-Protestant,24,24,24,19
Anti-Islamic (Muslim),176,219,227,145
Anti-Other Religion,88,108,108,56
"Anti-Multiple Religions, Group",37,42,44,26
Anti-Mormon,12,14,15,8
Anti-Jehovah's Witness,7,7,7,7
"Anti-Eastern Orthodox (Russian, Greek, Other)",44,47,49,34
Anti-Other Christian,49,60,65,23
Anti-Buddhist,5,5,5,5
Anti-Hindu,7,7,7,4
Anti-Sikh,49,50,60,36
Anti-Atheism/Agnosticism/etc.,6,6,6,5
Sexual Orientation:,"1,195","1,395","1,429","1,250"
Anti-Gay (Male),746,867,883,828
Anti-Lesbian,115,142,143,107
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",291,342,357,279
Anti-Heterosexual,17,17,19,14
Anti-Bisexual,26,27,27,22
Disability:,157,169,170,156
Anti-Physical,49,53,53,33
Anti-Mental,108,116,117,123
Gender:,69,80,81,67
Anti-Male,17,18,18,17
Anti-Female,52,62,63,50
Gender Identity:,198,224,227,233
Anti-Transgender,151,173,175,190
Anti-Gender Non-Conforming,47,51,52,43
Multiple-Bias Incidents3,211,257,260,138
